"External ID";"name";"Asset Code";"type";"is_cip";"Journal";"Asset Account";"Depreciation Entries: Asset Account";"Depreciation Entries: Expense Account";"method_time";"method_number";"method_period";"method";"prorata";"open_asset";"first_day_of_month";"method_end"
asset_prepaid_insurance_-_inventories_-_penjualan_unit;Prepaid Insurance - Inventories - Penjualan Unit;AssetCode|PI;prepaid;false;Journal Depreciation;"115303";"115303";"60080401";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_inventories_-_administrasi_unit;Prepaid Insurance - Inventories - Administrasi Unit;AssetCode|PI;prepaid;false;Journal Depreciation;"115303";"115303";"60080402";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_inventories_-_penjualan_service;Prepaid Insurance - Inventories - Penjualan Service;AssetCode|PI;prepaid;false;Journal Depreciation;"115303";"115303";"60080403";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_inventories_-_administrasi_service;Prepaid Insurance - Inventories - Administrasi Service;AssetCode|PI;prepaid;false;Journal Depreciation;"115303";"115303";"60080404";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_inventories_-_accounting;Prepaid Insurance - Inventories - Accounting;AssetCode|PI;prepaid;false;Journal Depreciation;"115303";"115303";"60080405";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_inventories_-_finance;Prepaid Insurance - Inventories - Finance;AssetCode|PI;prepaid;false;Journal Depreciation;"115303";"115303";"60080406";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_inventories_-_collection;Prepaid Insurance - Inventories - Collection;AssetCode|PI;prepaid;false;Journal Depreciation;"115303";"115303";"60080407";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_inventories_-_hr;Prepaid Insurance - Inventories - HR;AssetCode|PI;prepaid;false;Journal Depreciation;"115303";"115303";"60080408";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_inventories_-_legal;Prepaid Insurance - Inventories - Legal;AssetCode|PI;prepaid;false;Journal Depreciation;"115303";"115303";"60080409";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_inventories_-_internal_audit;Prepaid Insurance - Inventories - Internal Audit;AssetCode|PI;prepaid;false;Journal Depreciation;"115303";"115303";"60080410";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_inventories_-_it;Prepaid Insurance - Inventories - IT;AssetCode|PI;prepaid;false;Journal Depreciation;"115303";"115303";"60080411";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_inventories_-_bod;Prepaid Insurance - Inventories - BOD;AssetCode|PI;prepaid;false;Journal Depreciation;"115303";"115303";"60080412";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_inventories_-_vehicle;Prepaid Insurance - Inventories - Vehicle;AssetCode|PI;prepaid;false;Journal Depreciation;"115303";"115303";"60080413";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_inventories_-_budget;Prepaid Insurance - Inventories - Budget;AssetCode|PI;prepaid;false;Journal Depreciation;"115303";"115303";"60080414";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_inventories_-_tax;Prepaid Insurance - Inventories - Tax;AssetCode|PI;prepaid;false;Journal Depreciation;"115303";"115303";"60080415";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_inventories_-_marketing_ho;Prepaid Insurance - Inventories - Marketing HO;AssetCode|PI;prepaid;false;Journal Depreciation;"115303";"115303";"60080416";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_inventories_-_corpcom_&_customer_relation;Prepaid Insurance - Inventories - Corpcom & Customer Relation;AssetCode|PI;prepaid;false;Journal Depreciation;"115303";"115303";"60080417";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_inventories_-_mpd;Prepaid Insurance - Inventories - MPD;AssetCode|PI;prepaid;false;Journal Depreciation;"115303";"115303";"60080418";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_inventories_-_ga_ho;Prepaid Insurance - Inventories - GA HO;AssetCode|PI;prepaid;false;Journal Depreciation;"115303";"115303";"60080419";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_inventories_-_secretary;Prepaid Insurance - Inventories - Secretary;AssetCode|PI;prepaid;false;Journal Depreciation;"115303";"115303";"60080420";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_office_equipment_-_penjualan_unit;Prepaid Insurance - Office Equipment - Penjualan Unit;AssetCode|PI;prepaid;false;Journal Depreciation;"115304";"115304";"60080301";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_office_equipment_-_administrasi_unit;Prepaid Insurance - Office Equipment - Administrasi Unit;AssetCode|PI;prepaid;false;Journal Depreciation;"115304";"115304";"60080302";number;36;1;linear;true;true;true;
